iso,compare,base,abs_diff,rel_pct,table,part,sign
PHL,2787.847583,25781.99,22994.142417000003,824.8,3,A,base>compare
SDN,1832.723858,24727.91,22895.186142,1249.2,3,A,base>compare
LAO,1727.064473,23874.64,22147.575527,1282.4,3,A,base>compare
ECU,5519.978051,27562.16,22042.181948999998,399.3,3,A,base>compare
MYS,10482.19905,32002.32,21520.12095,205.3,3,A,base>compare
LBY,17896.76536,38662.88,20766.114639999996,116.0,3,A,base>compare
WSM,6540.891276,26180.14,19639.248723999997,300.3,3,A,base>compare
TON,7640.226212,27020.85,19380.623787999997,253.7,3,A,base>compare
BTN,3037.972484,21881.28,18843.307516,620.3,3,A,base>compare
ZAF,6766.794533,25382.61,18615.815467,275.1,3,A,base>compare
DOM,7895.8632,26243.37,18347.5068,232.4,3,A,base>compare
AFG,775.734064,19039.74,18264.005936,2354.4,3,A,base>compare
TZA,931.7556461,18705.27,17773.514353900002,1907.5,3,A,base>compare
VNM,2088.371997,19643.4,17555.028003,840.6,3,A,base>compare
GRC,25308.15661,41522.51,16214.353390000004,64.1,3,A,base>compare
GEO,3732.469711,19739.53,16007.060289,428.9,3,A,base>compare
RWA,813.8927929,16498.55,15684.6572071,1927.1,3,A,base>compare
GMB,1110.031872,16603.85,15493.818127999999,1395.8,3,A,base>compare
KEN,1143.731166,15893.62,14749.888834000001,1289.6,3,A,base>compare
COM,939.8249878,15578.38,14638.555012199999,1557.6,3,A,base>compare
BGR,8903.995493,23075.46,14171.464506999999,159.2,3,A,base>compare
KOR,22577.33468,36615.51,14038.175320000002,62.2,3,A,base>compare
PAN,7785.974577,21641.84,13855.865423,178.0,3,A,base>compare
KIR,3829.675248,16596.57,12766.894752,333.4,3,A,base>compare
JOR,4248.751942,16879.45,12630.698058000002,297.3,3,A,base>compare
MUS,8360.472852,20813.95,12453.477148,149.0,3,A,base>compare
CRI,9939.315785,22287.55,12348.234214999999,124.2,3,A,base>compare
GHA,1658.091419,13931.78,12273.688581,740.2,3,A,base>compare
MNG,2651.174147,14842.7,12191.525853000001,459.9,3,A,base>compare
MDV,4133.13677,16060.62,11927.483230000002,288.6,3,A,base>compare
LTU,13068.06432,24942.88,11874.815680000002,90.9,3,A,base>compare
BOL,3312.740713,14915.84,11603.099287000001,350.3,3,A,base>compare
MRT,1649.017531,12839.97,11190.952469,678.6,3,A,base>compare
LKA,3176.353014,14293.0,11116.646986,350.0,3,A,base>compare
HRV,14028.28493,25011.26,10982.975069999999,78.3,3,A,base>compare
BDI,372.5991953,10383.85,10011.250804700001,2686.9,3,A,base>compare
DMA,5926.801137,15929.7,10002.898863,168.8,3,A,base>compare
SWZ,3284.107029,12481.74,9197.632970999999,280.1,3,A,base>compare
ROM,8137.13013,17211.95,9074.819870000001,111.5,3,A,base>compare
GTM,5588.835627,14406.26,8817.424373,157.8,3,A,base>compare
SYR,3722.747478,12263.06,8540.312522,229.4,3,A,base>compare
CAF,532.3156216,8940.94,8408.6243784,1579.6,3,A,base>compare
FSM,3587.534998,11825.51,8237.975002,229.6,3,A,base>compare
POL,13249.96678,21161.84,7911.8732199999995,59.7,3,A,base>compare
BRA,7234.049669,14961.16,7727.110331,106.8,3,A,base>compare
TUR,9531.947552,16378.61,6846.662448000001,71.8,3,A,base>compare
GNB,774.5184738,7475.75,6701.2315262,865.2,3,A,base>compare
BLZ,8980.72186,15559.99,6579.26814,73.3,3,A,base>compare
ZMB,1066.642571,7307.29,6240.647429,585.1,3,A,base>compare
EGY,3968.386985,9650.3,5681.913014999999,143.2,3,A,base>compare
CIV,1298.499176,6540.89,5242.390824,403.7,3,A,base>compare
ZAR,207.4695252,5334.77,5127.3004748,2471.4,3,A,base>compare
MDG,717.5019069,5840.63,5123.1280931,714.0,3,A,base>compare
PAK,2025.753028,5947.57,3921.8169719999996,193.6,3,A,base>compare
VUT,5330.670779,9131.14,3800.4692209999994,71.3,3,A,base>compare
URY,8709.783638,11711.54,3001.756362,34.5,3,A,base>compare
HTI,1269.047341,4190.26,2921.2126590000003,230.2,3,A,base>compare
MNE,5735.877019,8480.45,2744.572981000001,47.8,3,A,base>compare
TCD,1295.710357,3720.05,2424.3396430000003,187.1,3,A,base>compare
MDA,2194.05933,4310.51,2116.45067,96.5,3,A,base>compare
MWI,481.4176003,2055.74,1574.3223996999998,327.0,3,A,base>compare
UGA,963.9258,2518.37,1554.4442,161.3,3,A,base>compare
AUT,36150.99452,30255.19,-5895.8045200000015,-16.3,3,B,base<compare
ISR,23227.20378,18244.05,-4983.153780000001,-21.5,3,B,base<compare
NOR,49293.47971,44856.52,-4436.959710000003,-9.0,3,B,base<compare
HKG,32527.14758,38726.12,6198.972420000002,19.1,3,B,base>compare
AUS,38383.84218,43375.72,4991.8778200000015,13.0,3,B,base>compare
