Country Code,Country Name,gdp_per_capita,hospital_beds_per_1000,physicians_per_1000,diabetes_prevalence,health_expenditure_pct_gdp,life_expectancy,population_65_plus_pct,population
ERI,Eritrea,,,,5.1,,66.321,,
ESP,Spain,29555.31569850792,,,6.9,,83.48536585365855,19.6478229478216,47133521.0
EST,Estonia,23397.12001486938,,,4.2,,78.49756097560977,19.9918077800442,1326898.0
ETH,Ethiopia,855.7608851869029,,,4.3,,66.597,3.51669045500426,112078727.0
EUU,European Union,35060.746405641214,,,6.671893849897021,,81.06384681733132,20.460107307990338,447196538.0
FCS,Fragile and conflict affected situations,1818.8372304226996,,,6.235320340971539,,62.480088340482006,3.476602970468436,908739462.0
FIN,Finland,48678.314131865205,,,5.6,,81.78536585365856,22.1406446239043,5521606.0
FJI,Fiji,6175.874841217666,,,14.7,,67.444,5.62422959414711,889955.0
FRA,France,40578.644285053386,,,4.8,,82.5780487804878,20.3913702817859,67248926.0
FRO,Faroe Islands,64225.26490498367,,,4.7,,82.74634146341464,,48677.0
FSM,"Micronesia, Fed. Sts.",3585.4232016237447,,,11.9,,67.883,4.19276896718359,113811.0
GAB,Gabon,7767.016979429537,,,6.0,,66.467,3.54472725732873,2172578.0
GBR,United Kingdom,42354.414654576525,2.46,,3.9,,81.2048780487805,18.5086956390397,66836327.0
GEO,Georgia,4697.983652389845,,,5.8,,73.767,15.0610556287397,3720161.0
GHA,Ghana,2210.355922588651,,,2.5,,64.074,3.09732217813116,30417858.0
GIB,Gibraltar,,,,,,,,33706.0
GIN,Guinea,1058.143368173183,,,2.4,,61.602,2.94190559010452,12771246.0
GMB,"Gambia, The",777.8152451702514,,,1.9,,62.05,2.56092543103779,2347696.0
GNB,Guinea-Bissau,749.453747028806,,,2.4,,58.322,2.86326045513561,1920917.0
GNQ,Equatorial Guinea,8419.933336125301,,,6.0,,58.735,2.42450880761306,1355982.0
GRC,Greece,19150.78619649853,,,4.7,,81.93902439024392,21.9414701261427,10721582.0
GRD,Grenada,10815.911356080282,,,10.7,,72.397,9.67741935483871,112002.0
GRL,Greenland,,,,2.1,,,,56225.0
GTM,Guatemala,4638.634943195106,,,10.0,,74.302,4.92898433077731,16604026.0
GUM,Guam,37723.78134433187,,,18.7,,80.074,10.1898454218322,167295.0
GUY,Guyana,6609.5104308480095,,,11.6,,69.906,6.71158430488805,782775.0
HIC,High income,45406.63376791389,,,7.935350640010811,,80.8873668617946,18.29556959475265,1210795776.0
HKG,"Hong Kong SAR, China",48354.47336741303,,,4.5,,85.0780487804878,17.498252456848,7507400.0
HND,Honduras,2574.356751051426,,,7.3,,75.27,4.82818952409457,9746115.0
HPC,Heavily indebted poor countries (HIPC),987.7066736842679,,,5.7293192612348705,,63.48645532563021,3.0485391724692357,801708019.0
HRV,Croatia,14944.356224893625,,,5.4,,78.42439024390245,20.8601352345977,4065253.0
HTI,Haiti,1272.4906987154807,,,6.7,,64.001,5.0636695460752,11263079.0
HUN,Hungary,16733.322169138748,,,6.9,,76.02195121951222,19.6944576067002,9771141.0
IBD,IBRD only,6461.789236577366,,,9.30199297620312,,73.60672776306028,8.791421790063882,4816232592.0
IBT,IDA & IBRD total,5142.094636949136,,,8.986872625677009,,71.27078068088552,7.446789611973862,6486925157.0
IDA,IDA total,1337.7613300324626,,,7.8512191328589305,,64.53630894104502,3.566096139758403,1670692565.0
IDB,IDA blend,1758.0359273188183,,,10.60474371126995,,62.40899722198812,3.4653289101388274,561571929.0
IDN,Indonesia,4135.201531326937,,,6.3,,71.716,6.05030268241321,270625567.0
IDX,IDA only,1127.5886094302925,,,6.457722643461639,,65.61334386554664,3.6171959217258833,1109120636.0
IMN,Isle of Man,,,,,,,,84589.0
IND,India,2100.7514606078325,,,10.4,,69.656,6.3779241556898,1366417756.0
INX,Not classified,,,,,,,,
IRL,Ireland,80886.61573871042,,,3.2,,82.30243902439027,14.2228307453464,4934340.0
IRN,"Iran, Islamic Rep.",3114.6227528406325,,,9.6,,76.677,6.35852205539563,82913893.0
IRQ,Iraq,5658.492266540468,,,8.8,,70.604,3.39853313359679,39309789.0
ISL,Iceland,68941.46222723939,2.83,,5.8,,82.5609756097561,15.192121074474,360563.0
ISR,Israel,43588.713153649005,,,9.7,,82.8048780487805,12.2086744136338,9054000.0
ITA,Italy,33566.78730416088,,,5.0,,83.19756097560976,23.0121366488811,59729081.0
JAM,Jamaica,5369.498371384904,,,11.3,,74.475,8.92239167324395,2948277.0
JOR,Jordan,4405.487109293909,,,12.7,,74.526,3.89341629235651,10101697.0
JPN,Japan,40777.608697051226,,,5.6,,84.35634146341464,28.0020492778115,126264931.0
KAZ,Kazakhstan,9812.5958082732,,,6.1,,73.18,7.65234394098093,18513673.0
KEN,Kenya,1816.547123752179,,,3.1,,66.699,2.42382670984367,52573967.0
KGZ,Kyrgyz Republic,1374.0311363909163,,,6.1,,71.60000000000001,4.60029458294692,6456200.0
KHM,Cambodia,1643.1213887647523,,,6.4,,69.823,4.7177691962329,16486542.0
KIR,Kiribati,1655.050693375213,,,22.5,,68.369,4.08227471387514,117608.0
KNA,St. Kitts and Nevis,19773.46237481756,,,13.3,,,,52834.0
KOR,"Korea, Rep.",31846.218232425806,,,6.9,,83.22682926829269,15.0601768953737,51709098.0
KWT,Kuwait,32373.251114960727,,,12.2,,75.489,2.76383898297229,4207077.0
LAC,Latin America & Caribbean (excluding high income),8213.078062738014,,,9.84078614359983,,75.59132638717705,8.54236858170264,589503742.0
LAO,Lao PDR,2544.952550268755,,,6.4,,67.923,4.16398457065425,7169456.0
LBN,Lebanon,7583.699146453633,,,11.2,,78.93,7.27329163283236,6855709.0
LBR,Liberia,621.8929536227153,,,2.4,,64.104,3.28569397416521,4937374.0
LBY,Libya,7685.948132483179,,,10.2,,72.913,4.45823887797361,6777453.0
LCA,St. Lucia,11611.097839818536,,,11.6,,76.203,10.0350128562832,182795.0
LCN,Latin America & Caribbean,8692.727038383791,,,9.694271126139387,,75.60149503946951,8.701930011477753,646430786.0
LDC,Least developed countries: UN classification,1097.2896751188084,,,6.442058445234492,,65.3454212391279,3.5630979264455367,1033388868.0
LIC,Low income,688.2790285655999,,,6.391683467745156,,63.7277492102326,3.248524657335172,647870823.0
LIE,Liechtenstein,,,,9.4,,83.04146341463417,,38020.0
LKA,Sri Lanka,3851.5609895153525,,,10.7,,76.978,10.838805756947,21803000.0
LMC,Lower middle income,2352.783694188071,,,9.223581969839367,,69.08849167331256,5.676691413335936,3285416867.0
LMY,Low & middle income,4998.016499000907,,,9.010097773880652,,71.21274878042895,7.375096025731561,6434033786.0
LSO,Lesotho,1113.3721403358106,,,4.5,,54.331,4.92582582526063,2125267.0
LTE,Late-demographic dividend,9983.135635577966,,,8.830811225892768,,76.43411323175745,11.184291973682916,2298495924.0
LTU,Lithuania,19555.211065253854,,,3.8,,76.13414634146342,20.1584127130225,2794137.0
LUX,Luxembourg,114685.16842414942,4.26,,5.0,,82.44634146341464,14.2749488817321,620001.0
LVA,Latvia,17794.4786167812,,,5.0,,75.23902439024391,20.3365110033182,1913822.0
MAC,"Macao SAR, China",86117.6554287201,,,4.3,,84.244,11.2117355900975,640446.0
MAF,St. Martin (French part),,,,,,79.97317073170733,,38002.0
MAR,Morocco,3230.40972230151,,,7.0,,76.68,7.30045477092159,36471766.0
MCO,Monaco,190512.7374424359,,,2.9,,,,38967.0
MDA,Moldova,4494.018403064544,,,5.7,,71.901,12.0131191070183,2663251.0
MDG,Madagascar,526.2245721873965,,,4.5,,67.041,3.04406412815873,26969306.0
MDV,Maldives,10626.433346690934,,,9.2,,78.921,3.64100023919255,530957.0
MEA,Middle East & North Africa,7360.953008090273,,,11.373883977664716,,74.27058876092573,5.308388823199878,456709496.0
MEX,Mexico,9946.033828791982,,,13.5,,75.054,7.41666060424488,127575529.0
MHL,Marshall Islands,4073.109829735844,,,30.5,,,,58791.0
MIC,Middle income,5480.2508091489735,,,9.239025355569243,,72.05086523964803,7.837302733951701,5786162963.0
MKD,North Macedonia,6022.240989974185,,,9.3,,75.797,14.0854223673228,2083458.0
MLI,Mali,879.1227751620595,,,2.4,,59.306,2.49512781824385,19658023.0
MLT,Malta,30186.195962197886,,,8.3,,82.6,20.8171727539444,504062.0
MMR,Myanmar,1477.3553677879447,,,3.9,,67.134,6.01170459957569,54045422.0
MNA,Middle East & North Africa (excluding high income),3365.511870999778,,,10.790643731421873,,73.77758931500475,5.502145560323927,389457075.0
MNE,Montenegro,8910.651554094482,,,9.0,,76.884,15.3891720688486,622028.0
MNG,Mongolia,4339.844624873139,,,4.7,,69.87,4.18933345157011,3225166.0
MNP,Northern Mariana Islands,20659.64029154213,,,,,,,57213.0
MOZ,Mozambique,503.5706565917398,,,3.3,,60.854,2.87844616926622,30366043.0
MRT,Mauritania,1679.442604841574,,,7.1,,64.925,3.15624381310632,4525698.0
MUS,Mauritius,11097.586933230887,,,22.0,,74.23585365853658,11.99872722633,1265711.0
MWI,Malawi,583.1102035840391,,,4.5,,64.263,2.64202417908193,18628749.0
MYS,Malaysia,11414.202689466392,,,16.7,,76.156,6.92077130929584,31949789.0
NAC,North America,63341.7836383808,,,10.461488469251249,,79.12330258298115,16.35736992529129,365987250.0
NAM,Namibia,5037.3426291926335,,,4.5,,63.708,3.60805442307769,2494524.0
NCL,New Caledonia,,,,21.8,,77.63414634146342,9.42670203359859,271300.0
NER,Niger,553.8949553358261,,,2.4,,62.42,2.59671142648349,23310719.0
NGA,Nigeria,2229.8586518612988,,,3.1,,54.687,2.74308333819201,200963603.0
NIC,Nicaragua,1926.6996939827582,,,11.4,,74.485,5.45799237399973,6545503.0
NLD,Netherlands,52476.273253332714,,,5.4,,82.01219512195122,19.6053197232518,17344874.0
NOR,Norway,75826.08188341731,,,5.3,,82.90731707317074,17.272665921403,5347896.0
NPL,Nepal,1194.9568757257528,,,7.2,,70.778,5.78256761664542,28608715.0
NRU,Nauru,10983.224649242447,,,12.0,,,,10764.0
NZL,New Zealand,42755.21626345225,2.57,,6.2,,81.70731707317074,15.9939561741085,4979300.0
OED,OECD members,39509.57108538099,,,8.320516057345984,,80.20508989069914,17.07617687268035,1364841892.0
OMN,Oman,15343.04350008545,,,10.1,,77.861,2.44858980507684,4974992.0
OSS,Other small states,13808.442412820086,,,8.241798205227115,,68.82187618810326,5.574427129034573,31361259.0
PAK,Pakistan,1284.7020468325547,,,19.9,,67.273,4.32240770888347,216565317.0
PAN,Panama,15727.974491574118,,,7.7,,78.506,8.31383660521204,4246440.0
PER,Peru,7027.612206977226,,,6.6,,76.736,8.39347886047604,32510462.0
PHL,Philippines,3485.3408438976994,,,7.1,,71.231,5.31499621959123,108116622.0
PLW,Palau,14907.777345703016,,,17.9,,,,18001.0
PNG,Papua New Guinea,2829.1670852537563,,,17.9,,64.501,3.50942541848557,8776119.0
POL,Poland,15694.840823885674,,,6.1,,77.85609756097561,18.1168972529604,37965475.0
PRE,Pre-demographic dividend,1482.7957944606105,,,5.371279804453704,,61.17597806234446,2.7682337820364955,944902748.0
PRI,Puerto Rico,32850.54861235923,,,13.7,,79.92851219512197,19.6970895286302,3193694.0
PRK,"Korea, Dem. People's Rep.",,,,6.4,,72.274,9.25808888988112,25666158.0
PRT,Portugal,23284.52723290024,,,9.8,,80.6829268292683,22.3566907196201,10286263.0
PRY,Paraguay,5380.963321841301,,,9.6,,74.254,6.6208246955556,7044639.0
PSE,West Bank and Gaza,3656.858271370109,,,9.5,,74.053,3.17341240048018,4685306.0
PSS,Pacific island small states,4268.838312919791,,,15.325327647708662,,70.07973148833499,4.627553050132236,2491878.0
PST,Post-demographic dividend,45769.58387146262,,,7.579990606424305,,80.79473361225763,19.290080014718715,1112707633.0
PYF,French Polynesia,,,,19.5,,77.657,8.68067615033997,279285.0
QAT,Qatar,62087.974134894626,,,15.6,,80.227,1.52316311725676,2832071.0
ROU,Romania,12889.809611149216,,,6.9,,75.45853658536586,18.79006578875,19371648.0
RUS,Russian Federation,11497.6492498593,,,6.1,,73.0839024390244,15.0941252324225,144406261.0
RWA,Rwanda,820.1492885585942,,,5.1,,69.024,3.02825306190331,12626938.0
SAS,South Asia,1959.3422564686657,,,11.23792640755099,,69.64361742503671,5.993904870046075,1835776769.0
SAU,Saudi Arabia,23139.797980823747,,,15.8,,75.133,3.41288659962284,34268529.0
SDN,Sudan,753.282174142999,,,22.1,,65.311,3.62731732647738,42813237.0
SEN,Senegal,1430.1482590016221,,,2.4,,67.941,3.09847644542059,16296362.0
SGP,Singapore,65640.70794849847,,,5.5,,83.49756097560977,12.3931294823164,5703569.0
SLB,Solomon Islands,2344.231634064484,,,19.0,,72.996,3.63080993038459,669821.0
SLE,Sierra Leone,527.5341745446715,,,2.4,,54.696,2.94773662314425,7813207.0
SLV,El Salvador,4167.730938785629,,,8.8,,73.317,8.46958256947762,6453550.0
SMR,San Marino,47731.20853993475,,,5.9,,,,33864.0
SOM,Somalia,320.03814830565045,,,5.1,,57.397,2.88920381236561,15442906.0
SRB,Serbia,7411.558648790047,,,9.0,,75.68536585365854,18.7405034178861,6945235.0
SSA,Sub-Saharan Africa (excluding high income),1599.5925750446845,,,5.358631008679218,,61.626356196819586,3.0036913498187268,1106860245.0
SSD,South Sudan,,,,10.2,,57.846,3.37680513659551,11062114.0
SSF,Sub-Saharan Africa,1600.8810145105313,,,5.3594398661786355,,61.62744250776646,3.0041148300791205,1106957870.0
SST,Small states,12612.724327354861,,,9.268443644516344,,69.77084699330636,6.127301677641443,41254526.0
STP,Sao Tome and Principe,1987.5797016681831,,,2.4,,70.385,2.96015921434417,215048.0
SUR,Suriname,7261.165609538237,,,12.5,,71.682,7.01512972760986,581363.0
SVK,Slovak Republic,19273.253954122887,,,6.5,,77.47073170731709,16.1723638921146,5454147.0
SVN,Slovenia,25942.954774143614,,,5.9,,81.28048780487805,20.1862840087865,2088385.0
SWE,Sweden,51939.42974452912,,,4.8,,82.95853658536586,20.1985696235664,10278887.0
SWZ,Eswatini,3894.6696302985792,,,4.5,,60.194,4.01478926602388,1148133.0
SXM,Sint Maarten (Dutch part),,,,6.8,,,,40733.0
SYC,Seychelles,16198.517476495674,,,12.3,,73.9439024390244,7.80548194681754,97625.0
SYR,Syrian Arab Republic,,,,13.5,,72.697,4.69185510249333,17070132.0
TCA,Turks and Caicos Islands,31350.86662826622,,,,,,,38194.0
TCD,Chad,709.5400431746301,,,6.0,,54.239,2.4916416230991,15946882.0
TEA,East Asia & Pacific (IDA & IBRD countries),8280.234696220921,,,8.514102225313101,,75.44133627277634,9.939574653625309,2067982370.0
TEC,Europe & Central Asia (IDA & IBRD countries),9002.297600996648,,,7.099250721722353,,74.29803697869556,12.879998144467002,460791608.0
TGO,Togo,893.3524541216748,,,2.4,,61.042,2.88734759103955,8082359.0
THA,Thailand,7817.011521578549,,,7.0,,77.15,12.4062503348266,69625581.0
TJK,Tajikistan,890.5444023557328,,,6.1,,71.097,3.0859612115329,9321023.0
TKM,Turkmenistan,7612.035180094521,,,6.1,,68.191,4.5924253238213,5942094.0
TLA,Latin America & the Caribbean (IDA & IBRD countries),8512.739533551832,,,9.671066729607766,,75.52038776910483,8.515293833518196,630644771.0
TLS,Timor-Leste,1560.5086148230637,,,6.7,,69.495,4.2865351139377,1293120.0
TMN,Middle East & North Africa (IDA & IBRD countries),3361.9129900997955,,,10.80461563613436,,73.77423568191928,5.530502181898767,384771769.0
TON,Tonga,4903.012138354493,,,15.7,,70.907,5.94196795988286,104497.0
TSA,South Asia (IDA & IBRD),1959.3422564686657,,,11.23792640755099,,69.64361742503671,5.993904870046074,1835776769.0
TSS,Sub-Saharan Africa (IDA & IBRD countries),1600.8810145105306,,,5.3594398661786355,,61.62744250776645,3.0041148300791196,1106957870.0
TTO,Trinidad and Tobago,16637.16293876974,,,11.0,,73.507,11.1182080226642,1394969.0
TUN,Tunisia,3351.5734433019225,,,8.5,,76.699,8.5934685561919,11694721.0
TUR,Turkey,9126.594391954533,,,11.1,,77.691,8.72628382619289,83429607.0
TUV,Tuvalu,4055.895609597382,,,22.1,,,,11655.0
TZA,Tanzania,1085.88486100047,,,5.7,,65.456,2.62054110317161,58005461.0
UGA,Uganda,794.4514454327971,,,2.5,,63.368,1.96255018738143,44269587.0
UKR,Ukraine,3662.56308679667,,,6.1,,71.82731707317075,16.7049903897468,44386203.0
UMC,Upper middle income,9589.037873503712,,,9.256866034639826,,75.94306407699412,10.67811572294828,2500746096.0
URY,Uruguay,17688.015007689984,,,7.3,,77.911,14.9412404303739,3461731.0
USA,United States,65279.52902609528,,,10.8,,78.78780487804877,16.2096061428511,328329953.0
UZB,Uzbekistan,1719.0572100922243,,,6.5,,71.725,4.59521572497926,33580350.0
VCT,St. Vincent and the Grenadines,7457.239775740946,,,11.6,,72.534,9.7405709428605,110593.0
VEN,"Venezuela, RB",,,,7.0,,72.064,7.6109903731012,28515829.0
VGB,British Virgin Islands,,,,14.2,,,,30033.0
VIR,Virgin Islands (U.S.),,,,12.3,,79.66829268292683,19.8751171374476,106669.0
VNM,Vietnam,2715.2759801099546,,,6.0,,75.4,7.55367294178711,96462108.0
VUT,Vanuatu,3102.346789862274,,,11.9,,70.474,3.6160889950047,299882.0
WLD,World,11394.861126777681,,,8.812211545495682,,72.74168945528525,9.098597032118196,7673345391.0
WSM,Samoa,4324.10177421565,,,9.2,,73.321,4.93310400462716,197093.0
XKX,Kosovo,4445.890702479353,,,,,72.49512195121952,,1788878.0
YEM,"Yemen, Rep.",,,,5.4,,66.125,2.90214067508993,29161922.0
ZAF,South Africa,6001.401121406795,,,12.7,,64.131,5.41525560779033,58558267.0
ZMB,Zambia,1305.0022135408724,,,4.5,,63.886,2.11531473828777,17861034.0
ZWE,Zimbabwe,1156.1548636013904,,,1.8,,61.49,2.9806080625078,14645473.0
