iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
CYP,Europe,Cyprus,2021-10-08,120416,0,103.71,569,0,0.43,90444.77,0,77.9,427.38,0,0.32,1.06,13,14.51,64,71.43,,,,,13687132,55413,15275.7,61.84,53432,59.63,0,519.5,tests performed,,,,,,2115,,,,,2360,293,0.03,46.64,127.66,37.3,13.42,8.56,32415.13,,141.17,9.24,19.6,52.7,,3.4,80.98,0.89,896007,,,,
CZE,Europe,Czechia,2021-10-08,1714696,0,646.43,30583,0,1.57,160654.11,0,60.56,2865.4,0,0.15,1.5,78,7.43,344,32.78,58,5.53,356,33.92,39417315,110625,3750.19,10.52,65269,6.21,0.01,76.9,tests performed,11926026,6126376,6022326,21461,14157,8205,113.65,58.38,57.39,0.2,782,2817,0.03,43.11,137.18,43.3,19.03,11.58,32605.91,,227.48,6.82,30.5,38.3,,6.63,79.38,0.9,10493990,,,,
COD,Africa,Democratic Republic of Congo,2021-10-08,57082,0,20.86,1086,0,0.29,557.46,0,0.2,10.61,0,0,0.94,,,,,,,,,,,,,,,,,,140254,102610,,,,520,0.14,0.1,,,5,346,0,37.96,35.88,17,3.02,1.74,808.13,77.1,318.95,6.1,,,4.47,,60.68,0.48,99010216,,,,
DNK,Europe,Denmark,2021-10-08,362163,0,425.57,2663,0,3.29,61353.42,0,72.1,451.13,0,0.56,1.2,14,2.38,88,14.96,,,96,16.32,41444096,38900,7079.33,6.64,36646,6.26,0.01,73.3,tests performed,8649395,4342224,4277198,74818,,6484,147.04,73.82,72.71,1.27,1102,909,0.02,20.37,136.52,42.3,19.68,12.32,46682.52,0.2,114.77,6.41,19.3,18.8,,2.5,80.9,0.94,5882259,,,,
DJI,Africa,Djibouti,2021-10-08,12881,0,79.57,169,0,1,11327.94,0,69.98,148.62,0,0.88,0.7,,,,,,,,,,,,,,,,,,,,,,,608,,,,,542,653,0.06,43.52,41.28,25.4,4.21,2.38,2705.41,22.5,258.04,6.05,1.7,24.5,,1.4,67.11,0.52,1120851,,,,
DMA,North America,Dominica,2021-10-08,3602,0,44.14,21,0,0.86,53881.82,0,660.33,314.14,0,12.82,1,,,,,,,,,,,,,,,,,,48091,26294,21797,,,200,66.1,36.14,29.96,,2749,167,0.23,52.87,98.57,,,,9673.37,,227.38,11.62,,,,3.8,75,0.74,72758,,,,
DOM,North America,Dominican Republic,2021-10-08,360257,0,474.71,4049,0,1.57,32077.78,0,42.27,360.53,0,0.14,1.19,,,,,,,,,,,,,4383,0.39,0.15,6.6,samples tested,12098704,6123862,4964932,1009910,26297,21699,107.75,54.54,44.22,8.99,1932,6614,0.06,65.74,222.87,27.6,6.98,4.42,14600.86,1.6,266.65,8.2,8.5,19.1,55.18,1.6,74.08,0.76,11228821,,,,
TLS,Asia,East Timor,2021-10-08,19582,0,28.57,118,0,0.71,14300.75,0,20.87,86.18,0,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.18,18,3.56,1.9,6570.1,30.3,335.35,6.86,6.3,78.1,28.18,5.9,69.5,0.61,1341298,,,,
ECU,South America,Ecuador,2021-10-08,510619,0,363.86,32791,0,8.43,28647.99,0,20.41,1839.72,0,0.47,1.03,,,,,,,,,1770596,1063,99.48,0.06,2098,0.12,0.07,14.1,people tested,21163540,11566614,9984036,,8328,26714,117.57,64.26,55.46,,1484,21117,0.12,49.85,66.94,28.1,7.1,4.46,10581.94,3.6,140.45,5.55,2,12.3,80.64,1.5,77.01,0.76,18001002,,,,
EGY,Africa,Egypt,2021-10-08,306030,0,726.43,17399,0,35.71,2717.41,0,6.45,154.5,0,0.32,1.1,,,,,,,,,,,,,,,,,,20154366,13552189,6602177,,,399325,18.16,12.21,5.95,,3598,304780,0.28,37.04,98,25.3,5.16,2.89,10550.21,1.3,525.43,17.31,0.2,50.1,89.83,1.6,71.99,0.71,110990096,,,,
SLV,North America,El Salvador,2021-10-08,104348,0,95.71,3262,0,12.57,16615.09,0,15.24,519.4,0,2,0.31,,,,,,,,,951580,2466,150.71,0.39,2466,0.39,0.13,7.5,tests performed,,,,,,43226,,,,,6822,9448,0.15,31.48,307.81,27.6,8.27,5.42,7292.46,2.2,167.3,8.87,2.5,18.8,90.65,1.3,73.32,0.67,6336393,,,,
OWID_ENG,Europe,England,2021-10-08,,,,,,,,,,,,,,647,11.44,4975,87.98,,,4296,75.97,,,,,,,,,,81096222,41181960,37830063,2084199,223187,201298,143.41,72.82,66.9,3.69,3560,24401,0.04,,,,,,,,,,,,,,,,56550000,,,,
GNQ,Africa,Equatorial Guinea,2021-10-08,12532,0,103.71,150,0,1.14,6948.52,0,57.51,83.17,0,0.63,0.98,,,,,,,,,227920,,139.45,,614,0.38,0.07,14.6,tests performed,,,,,,1397,,,,,834,1054,0.06,,45.19,22.4,2.85,1.75,22604.87,,202.81,7.78,,,24.64,2.1,58.74,0.59,1674916,,,,
ERI,Africa,Eritrea,2021-10-08,6722,0,4,42,0,0,1971.58,0,1.17,12.32,0,0,1.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.3,19.3,3.61,2.17,1510.46,,311.11,6.05,0.2,11.4,,0.7,66.32,0.46,3684041,,,,
EST,Europe,Estonia,2021-10-08,158891,0,710,1364,0,3.29,117689.02,0,525.89,1010.3,0,2.43,1.22,,,255,192.3,,,,,1979852,7783,1490.07,5.86,6026,4.54,0.14,7.3,tests performed,1386663,763857,737082,33724,2563,1939,104.57,57.6,55.58,2.54,1462,682,0.05,27.16,31.03,42.7,19.45,13.49,29481.25,0.5,255.57,4.02,24.5,39.3,,4.69,78.74,0.89,1326064,,,,
SWZ,Africa,Eswatini,2021-10-08,46005,0,37.57,1224,0,1.71,37742.4,0,30.82,1004.17,0,1.41,0.61,,,,,,,,,,,,,,,,,,,,,,,870,,,,,724,868,0.07,59.26,79.49,21.5,3.16,1.84,7738.98,,333.44,3.94,1.7,16.5,24.1,2.1,60.19,0.61,1201680,,,,
ETH,Africa,Ethiopia,2021-10-08,347972,0,1018.14,5675,0,43.71,2775.24,0,8.12,45.26,0,0.35,0.82,,,,,,,,,,,,,7177,0.06,0.13,7.9,tests performed,3871516,2954776,,,20407,22245,3.14,2.39,,,180,14106,0.01,43.52,104.96,19.8,3.53,2.06,1729.93,26.7,182.63,7.47,0.4,8.5,7.96,0.3,66.6,0.48,123379928,,,,
OWID_EUR,,Europe,2021-10-08,59418002,0,129906.29,1266314,0,1907,79404.39,0,173.6,1692.26,0,2.55,,,,,,,,,,,,,,,,,,,819164399,429545793,391758924,9024640,1709802,1814821,109.98,57.67,52.6,1.21,2437,482310,0.06,,,,,,,,,,,,,,,,744807803,,,,
OWID_EUN,,European Union (27),2021-10-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,576719093,303514978,283064573,5241253,963733,874745,128.12,67.43,62.88,1.16,1943,216803,0.05,,,,,,,,,,,,,,,,450146793,,,,
OWID_EUN,,European Union (27),2021-10-08,37576959,0,49218.14,780357,0,596.29,83669.19,0,109.59,1737.55,0,1.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450146793,,,,
FRO,Europe,Faroe Islands,2021-10-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75360,38647,36713,,,106,141.88,72.76,69.12,,1996,51,0.1,13.89,35.31,,,,,,,,,,,,80.67,,53117,,,,
FLK,South America,Falkland Islands,2021-10-08,67,0,0,0,0,0,19061.17,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.44,,3801,,,,
FRO,Europe,Faroe Islands,2021-10-08,1213,0,13.57,2,0,0,22446.75,0,251.14,37.01,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.31,,,,,,,,,,,,80.67,,53117,,,,
FJI,Oceania,Fiji,2021-10-08,51202,0,63.86,633,0,6.14,55688.97,0,69.45,688.47,0,6.68,0.73,,,,,,,,,421449,1059,455.81,1.14,993,1.07,,,tests performed,,,,,,5306,,,,,5707,263,0.03,87.05,49.56,28.6,6.22,3.28,8702.98,1.4,412.82,14.49,10.2,34.8,,2.3,67.44,0.74,929769,,,,
FIN,Europe,Finland,2021-10-08,150479,0,559.43,1176,0,4.43,27019.38,0,100.45,211.16,0,0.8,1.08,27,4.87,171,30.86,,,,,7256994,12768,1310.88,2.31,11991,2.17,0.05,20,tests performed,,,,,,20685,,,,,3733,2605,0.05,24.07,18.14,42.8,21.23,13.26,40585.72,,153.51,5.76,18.3,22.6,,3.28,81.91,0.94,5540745,,,,
FRA,Europe,France,2021-10-08,6644002,0,4416.57,118515,0,39.43,103364.49,0,68.71,1843.8,0,0.61,0.92,1164,17.16,6805,100.35,337,4.97,1404,20.7,147750853,675199,2191.43,10.02,449690,6.67,0.01,111.1,people tested,97005909,51245054,45160466,1671427,219312,146971,143.05,75.57,66.6,2.46,2167,33814,0.05,42,122.58,42,19.72,13.08,38605.67,,86.06,4.77,30.1,35.6,,5.98,82.66,0.9,67813000,,,,
GUF,South America,French Guiana,2021-10-08,41325,0,219.29,268,0,1.71,138526.2,0,735.07,898.37,0,5.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.3,,2.9,,,,,,,,,79.95,,304568,,,,
PYF,Oceania,French Polynesia,2021-10-08,45181,0,34.14,623,0,1.71,161136.84,0,121.77,2221.91,0,6.11,,,,,,,,,,,,,,,,,,,,,,,,539,,,,,1760,135,0.04,,77.32,32.7,7.78,4.59,,,,22.63,,,,,77.66,,306292,,,,
GAB,Africa,Gabon,2021-10-08,30648,0,217.43,190,0,1.71,12608.44,0,89.45,78.17,0,0.7,1.18,,,,,,,,,,,,,1823,0.78,0.07,13.6,tests performed,,,,,,1149,,,,,481,735,0.03,55.56,7.86,23.1,4.45,2.98,16562.41,3.4,259.97,7.2,,,,6.3,66.47,0.7,2388997,,,,
GMB,Africa,Gambia,2021-10-08,9935,0,0.71,338,0,0.43,3768.29,0,0.27,128.2,0,0.16,0.56,,,,,,,,,,,,,298,0.11,0,521.9,tests performed,,,,,,1646,,,,,608,1503,0.06,33.33,207.57,17.5,2.34,1.42,1561.77,10.1,331.43,1.91,0.7,31.2,7.88,1.1,62.05,0.5,2705995,,,,
GEO,Asia,Georgia,2021-10-08,617753,0,1608.71,9038,0,31.57,162790.08,0,423.93,2381.69,0,8.32,1.21,,,,,,,,,7596096,36840,2021.32,9.8,30089,8.01,0.07,15.1,tests performed,,,,,,7147,,,,,1909,1536,0.04,39.81,65.03,38.7,14.86,10.24,9745.08,4.2,496.22,7.11,5.3,55.5,,2.6,73.77,0.81,3744385,,,,
DEU,Europe,Germany,2021-10-08,4258484,0,8068.71,95877,0,60.43,50644.25,0,95.96,1140.22,0,0.72,1.09,1352,16.22,,,538,6.45,2474,29.68,,,,,137981,1.65,,,tests performed,111001573,57895067,54106005,1116106,158043,140512,133.14,69.44,64.9,1.34,1685,42494,0.05,34.14,237.02,46.6,21.45,15.96,45229.24,,156.14,8.31,28.2,33.1,,8,81.33,0.95,83369840,,,,
GHA,Africa,Ghana,2021-10-08,128159,0,163.29,1157,0,1,3866.13,0,4.93,34.9,0,0.03,0.84,,,,,,,,,,,,,3916,0.12,0.03,30.9,tests performed,,,,,,34026,,,,,1016,30848,0.09,40.74,126.72,21.1,3.38,1.95,4227.63,12,298.24,4.97,0.3,7.7,41.05,0.9,64.07,0.61,33475870,,,,
GIB,Europe,Gibraltar,2021-10-08,5555,0,7.57,97,0,0,147617.66,0,201.2,2577.66,0,0,,,,,,,,,,,,,,,,,,,79910,39955,39683,272,146,46,244.55,122.27,121.44,0.83,1408,0,0,,3457.1,,,,,,,,,,,,79.93,,32677,,,,
GRC,Europe,Greece,2021-10-08,666927,0,2140.71,14969,0,34.57,64050.73,0,205.59,1437.6,0,3.32,1.05,,,,,,,,,21676735,201746,2075.25,19.31,191393,18.32,0.01,89.6,samples tested,12378946,6489305,6229374,103298,32818,26601,119.2,62.49,59.98,0.99,2561,5310,0.05,71.39,83.48,45.3,20.4,14.52,24574.38,1.5,175.7,4.55,35.3,52,,4.21,82.24,0.89,10384972,,,,
GRL,North America,Greenland,2021-10-08,584,0,4.43,0,0,0,10425.96,0,79.06,0,0,0,,,,,,,,,,,,,,,,,,,76319,39936,36383,,,34,135.09,70.69,64.4,,602,5,0.01,38.41,0.14,,,,,,199.94,2.16,,,,,71.7,,56494,,,,
GRD,North America,Grenada,2021-10-08,5236,0,67.14,150,0,6.43,44779.7,0,574.22,1282.84,0,54.98,0.56,,,,,,,,,,,,,,,,,,62095,35762,26333,,,444,49.49,28.5,20.99,,3539,175,0.14,,317.13,29.4,7.3,5.02,13593.88,,243.96,10.71,,,,3.7,72.4,0.78,125459,,,,
GLP,North America,Guadeloupe,2021-10-08,53544,0,62.57,785,0,2.57,139182.69,0,162.65,2040.54,0,6.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.4,,,,,,,,,,,82.14,,395762,,,,
GUM,Oceania,Guam,2021-10-08,13157,0,85.29,198,0,2,79646.23,0,516.28,1198.6,0,12.11,,,,,,,,,,176905,159,1037.36,0.93,184,1.08,0.4,2.5,tests performed,,,,,,,,,,,,,,,304.13,31.4,9.55,5.49,,,310.5,21.52,,,,,80.07,,171783,,,,
GTM,North America,Guatemala,2021-10-08,565566,0,2423.14,13700,0,52.71,31688.14,0,135.77,767.6,0,2.95,0.81,,,,,,,,,2671803,14416,151.73,0.82,12502,0.71,0.16,6.5,people tested,7573644,4805693,2767951,,94919,73686,42.44,26.93,15.51,,4129,35510,0.2,49.54,157.83,22.9,4.69,3.02,7423.81,8.7,155.9,10.18,,,76.67,0.6,74.3,0.66,17843914,,,,
GGY,Europe,Guernsey,2021-10-08,1631,0,9.86,21,0,0,25585.12,0,154.63,329.42,0,0,,,,,,,,,,,,,,,,,,,,,,,,26,,,,,411,80,0.13,,,,,,,,,,,,,,,,63329,,,,
GIN,Africa,Guinea,2021-10-08,30445,0,11.57,381,0,0.43,2166.11,0,0.82,27.11,0,0.03,0.79,,,,,,,,,,,,,,,,,,,,,,,9976,,,,,720,5995,0.04,68.04,51.76,19,3.14,1.73,1998.93,35.3,336.72,2.42,,,17.45,0.3,61.6,0.48,13859349,,,,
GNB,Africa,Guinea-Bissau,2021-10-08,6112,0,1.29,135,0,0,2902.82,0,0.61,64.12,0,0,0.61,,,,,,,,,,,,,,,,,,,,,,,1313,,,,,624,1211,0.06,,66.19,19.4,3,1.56,1548.68,67.1,382.47,2.42,,,6.4,,58.32,0.48,2105580,,,,
GUY,South America,Guyana,2021-10-08,32055,0,194.14,792,0,6.14,39013.62,0,236.29,963.93,0,7.48,0.9,,,,,,,,,,,,,955,1.19,0.17,6,tests performed,586207,366190,220017,,2813,4613,72.49,45.28,27.21,,5704,1011,0.12,70.72,3.95,26.3,5.3,2.84,7435.05,,373.16,11.62,,,77.16,1.6,69.91,0.68,808727,,,,
HTI,North America,Haiti,2021-10-08,22382,0,66.57,636,0,3.57,1945.65,0,5.79,55.29,0,0.31,1.04,,,,,,,,,,,,,,,,,,,,,,,2968,,,,,256,2268,0.02,64.81,398.45,24.3,4.8,2.95,1653.17,23.5,430.55,6.65,2.9,23.1,22.86,0.7,64,0.51,11585003,,,,
OWID_HIC,,High-income countries,2021-10-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1622413689,858126670,754906855,29571706,5943402,4768722,129.74,68.62,60.37,2.36,3813,1254723,0.1,,,,,,,,,,,,,,,,1250514600,,,,
OWID_HIC,,High-income countries,2021-10-08,100212668,0,210012.86,1773990,0,2701.71,82093.2,0,172.04,1453.23,0,2.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250514600,,,,
HND,North America,Honduras,2021-10-08,367275,0,608.29,9855,0,25.14,35099.31,0,58.13,941.81,0,2.4,0.84,,,,,,,,,,,,,,,,,,5817602,3336972,2481005,,,7960,55.76,31.99,23.78,,763,826,0.01,76.94,82.8,24.9,4.65,2.88,4541.8,16,240.21,7.21,2,,84.17,0.7,75.27,0.63,10432858,,,,
HKG,Asia,Hong Kong,2021-10-08,,,,,,,,,,,,,,,,,,,,,,,,,,43226,5.77,,,tests performed,8801658,4530959,4270355,344,15369,15578,117.53,60.5,57.02,0,2080,4722,0.06,59.26,7039.71,44.8,16.3,10.16,56054.92,,,8.33,,,,,84.86,0.95,7488863,,,,
HUN,Europe,Hungary,2021-10-08,823384,0,472.29,30199,0,6.86,85022.51,0,48.77,3118.34,0,0.71,1.4,,,,,,,,,6581493,15718,677.82,1.62,12057,1.24,0.05,21,tests performed,,,,,,18389,,,,,1845,2055,0.02,29.79,108.04,43.4,18.58,11.98,26777.56,0.5,278.3,7.55,26.8,34.8,,7.02,76.88,0.85,9967304,,,,
ISL,Europe,Iceland,2021-10-08,11947,0,33.57,33,0,0,31409.06,0,88.26,86.76,0,0,1.24,,,,,,,,,648009,1589,1749.79,4.29,1525,4.12,,,tests performed,,,,,,556,,,,,1491,43,0.01,30.56,3.4,37.3,14.43,9.21,46482.96,0.2,117.99,5.31,14.3,15.2,,2.91,82.99,0.95,372903,,,,
IND,Asia,India,2021-10-08,33813903,0,23022.57,448817,0,271.29,23722.01,0,16.15,314.87,0,0.19,0.84,,,,,,,,,580043190,1385706,412.09,0.98,1366550,0.97,0.02,66.3,samples tested,935219767,675161305,260058462,,8045908,6002255,65.99,47.64,18.35,,4235,3202444,0.23,62.73,450.42,28.2,5.99,3.41,6426.67,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66,0.64,1417173120,,,,
IDN,Asia,Indonesia,2021-10-08,4219284,0,1610.14,142173,0,100.86,15132.07,0,5.78,509.89,0,0.36,0.69,,,,,,,,,27516374,181510,100.52,0.66,170990,0.62,0.01,130.9,people tested,154252314,98146308,56106006,,2800615,1477231,55.99,35.62,20.37,,5362,855044,0.31,66,145.72,29.3,5.32,3.05,11188.74,5.7,342.86,6.32,2.8,76.1,64.2,1.04,71.72,0.72,275501344,,,,
IRN,Asia,Iran,2021-10-08,5611700,0,13138.86,120880,0,258.29,62683.58,0,146.76,1350.25,0,2.88,0.82,,,,,,,,,,,,,105137,1.2,0.11,8.9,tests performed,,,,,,958873,,,,,10829,641586,0.72,74.54,49.83,32.4,5.44,3.18,19082.62,0.2,270.31,9.59,0.8,21.1,,1.5,76.68,0.78,88550568,,,,
IRQ,Asia,Iraq,2021-10-08,2007227,0,2228.43,22344,0,38.86,45545.76,0,50.56,507,0,0.88,0.83,,,,,,,,,15381835,22317,353.33,0.51,20620,0.47,0.1,9.7,tests performed,,,,,,44522,,,,,1001,26826,0.06,75.93,88.12,20,3.19,1.96,15663.99,2.5,218.61,8.83,,,94.58,1.4,70.6,0.67,44496124,,,,
IRL,Europe,Ireland,2021-10-08,395525,0,1300.86,5350,0,7,77401.95,0,254.57,1046.96,0,1.37,1.1,,,,,,,,,7621371,23046,1528.39,4.62,19826,3.98,0.06,16.7,tests performed,7427030,3837670,3763358,66889,9756,11831,147.86,76.4,74.92,1.33,2355,943,0.02,42.14,69.87,38.7,13.93,8.68,67335.29,0.2,126.46,3.28,23,25.7,,2.96,82.3,0.96,5023108,,,,
IMN,Europe,Isle of Man,2021-10-08,7634,0,38.71,52,0,0.14,90725.42,0,460.1,617.99,0,1.7,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,154,2,0,,147.87,,,,,,,,,,,,81.4,,84534,,,,
ISR,Asia,Israel,2021-10-08,1290136,0,3565,7845,0,18.43,141724.22,0,391.62,861.79,0,2.02,0.63,225,23.81,791,83.71,43,4.55,589,62.34,26744523,100022,2878.54,10.76,98733,10.63,0.02,41.7,people tested,15669976,6210344,5714575,3745057,24980,50883,165.84,65.72,60.48,39.63,5385,7263,0.08,51.98,402.61,30.6,11.73,7.36,33132.32,0.5,93.32,6.74,15.4,35.4,,2.99,82.97,0.92,9449000,,,,
ITA,Europe,Italy,2021-10-08,4679067,0,3121.71,130998,0,49.29,78482.68,0,52.36,2197.25,0,0.83,0.86,383,6.49,3125,52.93,153,2.59,1136,19.24,94716158,271566,1598.85,4.58,279578,4.72,0.01,100.2,tests performed,86292449,45845383,41612327,324580,172918,153212,146.17,77.65,70.48,0.55,2595,56625,0.1,56.25,205.86,47.9,23.02,16.24,35220.08,2,113.15,4.78,19.8,27.8,,3.18,83.51,0.89,59037472,,,,
JAM,North America,Jamaica,2021-10-08,84417,0,295.43,1884,0,8.57,29733.18,0,104.06,663.58,0,3.02,0.75,,,,,,,,,614262,,217.23,,1465,0.52,0.16,6.4,samples tested,816569,546125,302839,,7335,5126,28.88,19.32,10.71,,1813,1538,0.05,86.11,266.88,31.4,9.68,6.39,8193.57,,206.54,11.28,5.3,28.6,66.42,1.7,74.47,0.73,2827382,,,,
JPN,Asia,Japan,2021-10-08,1705046,0,1481.57,17730,0,35.43,13640.63,0,11.85,141.84,0,0.28,0.45,,,,,,,,,24214328,67618,194.32,0.54,56641,0.46,0.02,59.1,people tested,177954603,94642633,83311970,,1040616,1000177,143.57,76.35,67.21,,8069,396278,0.32,47.22,347.78,48.2,27.05,18.49,39002.22,,79.37,5.72,11.2,33.7,,13.05,84.63,0.92,123951696,,,,
JEY,Europe,Jersey,2021-10-08,10049,0,16.71,78,0,0,97098.35,0,161.5,753.67,0,0,,,,,,,,,,,,,,,,,,,,,,,,584,,,,,5271,59,0.05,,,,,,,,,,,,,,,,110796,,,,
JOR,Asia,Jordan,2021-10-08,825245,0,921.29,10736,0,9.57,73314.27,0,81.85,953.78,0,0.85,1.09,,,,,,,,,,,,,26629,2.39,0.04,26.1,tests performed,7122254,3768679,3353575,,2444,16747,63.11,33.39,29.71,,1484,7765,0.07,23.15,109.28,23.2,3.81,2.36,8337.49,0.1,208.26,11.75,,,,1.4,74.53,0.73,11285875,,,,
KAZ,Asia,Kazakhstan,2021-10-08,967212,0,2118.14,16142,0,44.57,48277.05,0,105.72,805.71,0,2.22,0.89,,,,,,,,,,,,,,,,,,14639156,7810611,6828545,,87538,55856,75.47,40.27,35.2,,2879,22292,0.12,66.2,6.68,30.6,6.99,4.62,24055.59,0.1,466.79,7.11,7,43.1,99,6.7,73.6,0.82,19397998,,,,
KEN,Africa,Kenya,2021-10-08,250023,0,233,5131,0,5,4608.51,0,4.3,94.58,0,0.09,0.7,,,,,,,,,,,,,5431,0.1,0.03,32.4,tests performed,,,,,,48043,,,,,889,31078,0.06,53.24,87.32,20,2.69,1.53,2993.03,36.8,218.64,2.92,1.2,20.4,24.65,1.4,66.7,0.6,54027484,,,,
KIR,Oceania,Kiribati,2021-10-08,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,1109,,,,,8450,1001,0.76,37.5,143.7,23.2,3.9,2.21,1981.13,,434.66,22.66,35.9,58.9,,1.9,68.37,0.63,131237,,,,
OWID_KOS,Europe,Kosovo,2021-10-08,160127,0,53.86,2949,0,4,93208.19,0,31.35,1716.58,0,2.33,0.41,,,,,,,,,,,,,2523,1.42,0.01,80.3,tests performed,1419979,821428,598551,,12013,10903,79.68,46.09,33.59,,6118,2743,0.15,51.85,168.16,,,,9795.83,0.6,,,,,,,,,1782115,,,,
KWT,Asia,Kuwait,2021-10-08,411731,0,40.57,2451,0,0.86,89711.24,0,8.84,534.04,0,0.19,0.85,,,,,,,,,,,,,22299,5.25,0,478.8,tests performed,,,,,,36209,,,,,8482,12350,0.29,46.55,232.13,33.7,2.35,1.11,65530.54,,132.24,15.84,2.7,37,,2,75.49,0.81,4268886,,,,
KGZ,Asia,Kyrgyzstan,2021-10-08,63168,0,66.57,671,0,0.86,9081.35,0,9.57,96.47,0,0.12,1.01,,,,,,,,,,,,,,,,,,1524280,867988,654983,,10447,8294,22.99,13.09,9.88,,1251,4665,0.07,49.07,32.33,26.3,4.49,2.88,3393.47,1.4,436.36,7.11,3.6,50.5,89.22,4.5,71.45,0.7,6630621,,,,
LAO,Asia,Laos,2021-10-08,25217,0,485.43,22,0,0.86,3336.02,0,64.22,2.91,0,0.11,1.12,,,,,,,,,382014,5484,51.45,0.74,5102,0.69,0.09,10.8,tests performed,,,,,,18536,,,,,2462,8261,0.11,75,29.72,24.4,4.03,2.32,6397.36,22.7,368.11,4,7.3,51.2,49.84,1.5,67.92,0.61,7529477,,,,
LVA,Europe,Latvia,2021-10-08,161639,0,979.29,2940,0,8.71,85929.83,0,520.6,1562.95,0,4.63,1.36,,,,,,,,,4467734,18394,2384.17,9.82,15786,8.42,0.08,12.5,tests performed,1692688,952456,890071,833,10866,6639,91.46,51.47,48.09,0.05,3587,4492,0.24,37.96,31.21,43.9,19.75,14.14,25063.85,0.7,350.06,4.91,25.6,51,,5.57,75.29,0.87,1850654,,,,
LBN,Asia,Lebanon,2021-10-08,625445,0,530,8341,0,9.14,108877.3,0,92.26,1452,0,1.59,0.97,,,,,,,,,,,,,,,,,,3019021,1660463,1358558,,13996,13569,54.99,30.25,24.75,,2472,6449,0.12,31.48,594.56,31.1,8.51,5.43,13367.56,,266.59,12.71,26.9,40.7,,2.9,78.93,0.74,5489744,,,,
LSO,Africa,Lesotho,2021-10-08,21360,0,82.14,650,0,4.86,9343.37,0,35.93,284.33,0,2.12,0.19,,,,,,,,,,,,,,,,,,,,,,,2124,,,,,921,2105,0.09,49.07,73.56,22.2,4.51,2.65,2851.15,59.6,405.13,3.94,0.4,53.9,2.12,,54.33,0.53,2305826,,,,
LBR,Africa,Liberia,2021-10-08,5805,0,0.29,286,0,0.14,1080.34,0,0.05,53.23,0,0.03,0.25,,,,,,,,,,,,,,,,,,,,,,,4962,,,,,936,3420,0.06,40.74,49.13,19.2,3.06,1.76,752.79,38.6,272.51,2.42,1.5,18.1,1.19,0.8,64.1,0.48,5302690,,,,
LBY,Africa,Libya,2021-10-08,341091,0,728.57,4664,0,10.86,47217.64,0,100.86,645.64,0,1.5,0.88,,,,,,,,,,,,,,,,,samples tested,,,,,,7586,,,,,1114,3133,0.05,44.44,3.62,29,4.42,2.82,17881.51,,341.86,10.43,,,,3.7,72.91,0.72,6812344,,,,
LIE,Europe,Liechtenstein,2021-10-08,3561,0,0.86,60,0,0,90527.76,0,21.79,1525.32,0,0,1,,,,,,,,,69613,213,1783.17,5.46,163,4.18,0.01,90.9,tests performed,47099,24764,,,27,27,119.68,62.92,,,686,26,0.07,46.3,237.01,,,,,,,7.77,,,,2.4,82.49,0.92,39355,,,,
