iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
AUT,Europe,Austria,2021-10-08,737953,0,1777.29,13415,0,11,81409.72,0,196.07,1479.92,0,1.21,1.05,221,24.72,845,94.52,,,,,89792069,270111,10064.03,30.27,330999,37.1,0.01,183.1,tests performed,11289327,5883507,5572957,152479,,20131,126.28,65.81,62.34,1.71,2252,5079,0.06,46.44,106.75,44.4,19.2,13.75,45436.69,0.7,145.18,6.35,28.4,30.9,,7.37,81.54,0.92,8939617,,,,
AZE,Asia,Azerbaijan,2021-10-08,485275,0,780.14,6559,0,18,47135.56,0,75.78,637.09,0,1.75,1.04,,,,,,,,,4932673,20517,478.3,1.99,7753,0.75,0.1,9.8,tests performed,8923055,4863636,4059419,,,42814,86.15,46.96,39.19,,4133,12113,0.12,64.51,119.31,32.4,6.02,3.87,15847.42,,559.81,7.11,0.3,42.5,83.24,4.7,73,0.76,10358078,,,,
BHS,North America,Bahamas,2021-10-08,21265,0,80,555,0,4.71,53490.93,0,201.24,1396.07,0,11.86,0.76,,,,,,,,,,,,,343,0.84,0.19,5.2,tests performed,224531,129121,100098,,,2392,54.77,31.49,24.41,,5834,702,0.17,55.09,39.5,34.3,9,5.2,27717.85,,235.95,13.17,3.1,20.4,,2.9,73.92,0.81,409989,,,,
BHR,Asia,Bahrain,2021-10-08,275175,0,61.43,1389,0,0,179447.25,0,40.06,905.8,0,0,0.98,,,,,,,,,6565857,15396,4487.13,10.52,15104,10.32,0,259.1,units unclear,2645484,1167797,1127282,,5741,7264,179.69,79.32,76.57,,4934,346,0.02,23.9,1935.91,32.4,2.37,1.39,43290.7,,151.69,16.52,5.8,37.6,,2,77.29,0.85,1472237,,,,
BGD,Asia,Bangladesh,2021-10-08,1557964,0,944.71,27573,0,22.71,9197.77,0,5.58,162.78,0,0.13,0.68,,,,,,,,,9916251,23302,58.55,0.14,22708,0.13,0.03,33.8,tests performed,,,,,,517885,,,,,3025,393876,0.23,39.52,1265.04,27.5,5.1,3.26,3523.98,14.8,298,8.38,1,44.7,34.81,0.8,72.59,0.63,171186368,,,,
BRB,North America,Barbados,2021-10-08,8609,0,172.57,78,0,2.14,30493.33,0,611.25,276.28,0,7.59,1.25,,,,,,,,,,,,,,,,,,252521,141307,111214,,1289,1243,89.66,50.17,39.49,,4413,596,0.21,67.59,664.46,39.8,14.95,9.47,16978.07,,170.05,13.57,1.9,14.5,88.47,5.8,79.19,0.81,281646,,,,
BLR,Europe,Belarus,2021-10-08,541978,0,1964.14,4173,0,13.14,59082.5,0,214.12,454.91,0,1.43,1.01,,,,,,,,,,,,,34891,3.64,0.06,17.8,tests performed,,,,,,45855,,,,,4809,30999,0.32,19.44,46.86,40.3,14.8,9.79,17167.97,,443.13,5.18,10.5,46.1,,11,74.79,0.82,9534956,,,,
BEL,Europe,Belgium,2021-10-08,1240983,0,1920.57,25727,0,8.29,106597.06,0,164.97,2209.88,0,0.71,1.23,204,17.5,725,62.2,,,404,34.66,20456222,56010,1761.73,4.82,44419,3.82,0.05,19.6,tests performed,17095411,8683268,8518326,290102,39988,27578,146.67,74.5,73.08,2.49,2366,3884,0.03,32.14,375.56,41.8,18.57,12.85,42658.58,0.2,114.9,4.29,25.1,31.4,,5.64,81.63,0.93,11655923,,,,
BLZ,North America,Belize,2021-10-08,21003,0,200.43,418,0,2.29,52150.14,0,497.66,1037.89,0,5.68,1.18,,,,,,,,,,,,,1510,3.78,0.11,8.9,tests performed,,,,,,2226,,,,,5492,728,0.18,61.64,16.43,25,3.85,2.28,7824.36,,176.96,17.11,,,90.08,1.3,74.62,0.72,405285,,,,
BEN,Africa,Benin,2021-10-08,23890,0,133.14,159,0,0.71,1736.25,0,9.68,11.56,0,0.05,0.48,,,,,,,,,,,,,,,,,,,,,,,2911,,,,,218,2364,0.02,50,99.11,18.8,3.24,1.94,2064.24,49.6,235.85,0.99,0.6,12.3,11.04,0.5,61.77,0.55,13352864,,,,
