iso,pwt70_rgdpch,pwt71_rgdpch,abs_diff,rel_diff_pct
AFG,666.4789761,775.734064,109.25508790000004,16.392878367945272
ALB,5030.436035,4938.805347,-91.63068799999928,-1.8215257556693947
DZA,5897.571283,5988.778111,91.2068279999994,1.546515058883764
AGO,3108.189699,3055.026874,-53.162824999999884,-1.7104112087207544
ATG,14913.52339,15007.77247,94.2490799999996,0.631970578214915
ARG,9974.732011,9670.709771,-304.02224000000024,-3.0479238907343937
ARM,4541.669893,4452.05631,-89.61358300000029,-1.9731417102357045
AUS,38387.13304,38383.84218,-3.2908600000009756,-0.008572820472349023
AUT,35631.4556,36150.99452,519.538919999999,1.458090642808314
AZE,4762.077181,4659.001281,-103.07589999999982,-2.1645155272001424
BHS,27459.95884,32374.2962,4914.337360000001,17.896375550430367
BHR,22381.59809,22013.14226,-368.45582999999897,-1.646244510862803
BGD,1191.883828,1085.531188,-106.35264000000006,-8.923070982384372
BRB,23367.30642,28575.04631,5207.739890000001,22.286436427018877
BLR,9406.864317,9177.094053,-229.77026399999886,-2.442580824566164
BEL,33719.86669,33892.67915,172.812460000001,0.5124944934946923
BLZ,9026.247538,8980.72186,-45.52567799999997,-0.5043699256899326
BEN,1190.4635,1136.409613,-54.05388700000003,-4.540574910528548
BMU,46567.77291,46119.02968,-448.74323000000004,-0.9636347240982971
BTN,3562.582741,3037.972484,-524.6102570000003,-14.725559941738917
BOL,3428.714209,3312.740713,-115.97349600000007,-3.38241944153824
BIH,4982.069803,4828.065757,-154.00404600000002,-3.091165962935024
BWA,9306.059578,9441.378924,135.31934600000022,1.4540992873063274
BRA,8349.947528,7234.049669,-1115.8978590000006,-13.364130196723323
BRN,50007.13784,48775.90886,-1231.2289799999999,-2.462106477558004
BGR,9187.832973,8903.995493,-283.83748000000014,-3.089275576015634
BFA,870.145883,848.8706887,-21.275194300000067,-2.4450146481932005
BDI,368.535868,372.5991953,4.063327300000026,1.1025595207465737
KHM,1560.10657,1489.046957,-71.0596129999999,-4.554792240891588
CMR,1793.233862,1742.694249,-50.539613000000145,-2.8183503597033983
CAN,36449.09257,36653.89691,204.8043400000024,0.5618914643942874
CPV,2882.263381,2845.919007,-36.34437400000024,-1.2609664418451092
CAF,547.3717106,532.3156216,-15.056089000000043,-2.7506151137215973
TCD,1293.27867,1295.710357,2.431687000000011,0.18802498304561158
CHL,11219.25508,11068.38508,-150.8700000000008,-1.3447416867181239
CHN,4735.81457,4335.119467,-400.6951029999991,-8.46095422608574
CH2,5218.064576,4802.163789,-415.9007869999996,-7.970403220245613
COL,6662.063428,6490.991627,-171.07180100000005,-2.56785007901609
COM,960.6239984,939.8249878,-20.799010599999974,-2.165156256208722
ZAR,217.8756728,207.4695252,-10.406147599999997,-4.776186100204207
COG,2188.299078,2183.40273,-4.896348000000216,-0.2237513166836063
CRI,9949.064849,9939.315785,-9.749063999999635,-0.09798975228289453
CIV,1328.604982,1298.499176,-30.10580600000003,-2.265971180890847
HRV,14110.46735,14028.28493,-82.182420000001,-0.5824216729433912
CUB,9132.694767,8948.255586,-184.43918100000155,-2.0195482900233617
CYP,18378.81983,18240.10068,-138.7191500000008,-0.7547772451284801
