iso,pwt70_rgdpch,pwt71_rgdpch,abs_diff,rel_diff_pct
KGZ,1930.41983,1889.665893,-40.75393699999995,-2.111143719446767
LAO,1843.23269,1727.064473,-116.16821700000014,-6.3024173578432
LVA,12451.79545,12030.62692,-421.168529999999,-3.3823919746449014
LBN,10011.43749,9778.505944,-232.9315459999998,-2.3266543514122247
LSO,1167.148879,1180.610478,13.461598999999978,1.1533746244552558
LBR,342.7000385,378.1041342,35.40409569999997,10.330928427952298
LBY,18013.05034,17896.76536,-116.28498000000036,-0.6455596237455491
LTU,13240.44613,13068.06432,-172.38181000000077,-1.3019335474612197
LUX,71160.49821,73242.96698,2082.468769999992,2.9264392779466912
MAC,37216.51452,36939.01942,-277.4951000000001,-0.7456235587319049
MKD,6613.984613,6573.246577,-40.73803599999974,-0.6159378707946768
MDG,741.7025425,717.5019069,-24.200635600000055,-3.2628492169419863
MWI,537.6598356,481.4176003,-56.24223529999995,-10.4605610417666
MYS,10718.30142,10482.19905,-236.10237000000052,-2.2027965136289342
MDV,4679.398442,4133.13677,-546.2616719999996,-11.67375847068335
MLI,890.5568227,870.4906953,-20.066127400000028,-2.2532113491830112
MLT,20635.74841,20313.79968,-321.94873000000007,-1.560150490320889
MHL,7522.125363,7530.307,8.181636999999682,0.10876762357941684
MRT,1373.751442,1649.017531,275.26608899999997,20.037546865046345
MUS,8320.64881,8360.472852,39.82404200000019,0.47861702746231144
MEX,11964.78755,11641.86206,-322.9254899999996,-2.698965515689409
FSM,3476.208168,3587.534998,111.32682999999997,3.202536344768176
MDA,2237.117811,2194.05933,-43.05848100000003,-1.9247301500296368
MNG,2604.015935,2651.174147,47.158212000000276,1.8109801620703323
MNE,5886.415527,5735.877019,-150.53850800000055,-2.5573884023223585
MAR,3044.903843,2998.459093,-46.44475000000011,-1.5253273139239858
MOZ,634.1520906,628.4671567,-5.684933899999919,-0.8964622184910163
NAM,4357.647451,4244.887251,-112.76019999999971,-2.5876393459531317
NPL,1045.780296,980.9731549,-64.80714109999985,-6.1970130196447935
NLD,38284.17056,36402.48186,-1881.6886999999988,-4.915056725732023
NZL,27447.47676,27253.9382,-193.53856000000087,-0.7051233222357627
NIC,2055.903628,2189.424307,133.5206790000002,6.494500869668205
NER,524.57659,502.5072581,-22.06933190000001,-4.207075252824379
NGA,1543.925284,1510.74653,-33.178754000000026,-2.1489870231311032
NOR,48701.2144,49293.47971,592.2653100000025,1.2161202082878708
OMN,18392.67193,17927.26169,-465.41024000000107,-2.5304112516728887
PAK,2112.401743,2025.753028,-86.64871499999981,-4.1019051081137
PLW,14186.62641,14108.71039,-77.91602000000057,-0.5492216242832645
PAN,7819.603734,7785.974577,-33.629157000000305,-0.4300621635566924
PNG,2197.242175,2234.376083,37.13390800000025,1.6900234495089397
PRY,3554.500456,3435.351221,-119.14923500000032,-3.35206694934801
PER,5837.732849,5561.445909,-276.28693999999996,-4.732778068926668
PHL,2461.940518,2787.847583,325.90706500000033,13.23781231175953
POL,13481.46516,13249.96678,-231.4983799999991,-1.7171603920830745
PRT,20097.14295,19949.4889,-147.654050000001,-0.7347016954964785
PRI,26152.35739,26053.65767,-98.69972000000053,-0.3774027653726574
QAT,87399.83591,71158.08034,-16241.755569999994,-18.583279248630337
ROM,8345.437107,8137.13013,-208.3069770000002,-2.4960583170086577
RUS,12356.83295,12214.86125,-141.97170000000006,-1.1489327449393094
RWA,839.0191161,813.8927929,-25.1263232,-2.994725950559305
WSM,6663.806634,6540.891276,-122.91535799999929,-1.8445216788383674
STP,1414.927744,1297.600234,-117.32751000000007,-8.292120251194966
SAU,19659.25093,19552.50912,-106.74180999999953,-0.5429597006522341
SEN,1464.721314,1415.500169,-49.22114499999998,-3.3604443746081776
SRB,7292.934998,7177.238938,-115.6960599999993,-1.5864128781036384
SYC,22588.16951,22861.27779,273.1082800000004,1.2090766357986322
SLE,744.2349173,727.0988185,-17.136098800000013,-2.302512070001746
SGP,41864.90037,41988.61672,123.71634999999515,0.2955133032841256
SVK,16200.26191,15375.88336,-824.3785499999994,-5.08867421144057
SVN,23273.83833,22908.74196,-365.0963699999993,-1.5686985740095554
SLB,1427.147491,1586.086676,158.93918499999995,11.136843669089277
SOM,454.2963186,451.7780751,-2.5182434999999828,-0.5543173908519501
ZAF,6960.818418,6766.794533,-194.0238849999996,-2.7873717334483645
ESP,27983.83179,28325.37741,341.5456200000008,1.2205105525328803
LKA,3322.786106,3176.353014,-146.43309200000022,-4.40693705007325
KNA,12690.04625,10494.75698,-2195.2892699999993,-17.299300780720163
LCA,11762.72493,11735.87501,-26.849920000000566,-0.2282627550995581
VCT,5118.535093,6318.151117,1199.616024,23.436706053663073
SDN,1875.447074,1832.723858,-42.723215999999866,-2.278028348135612
SUR,9283.114469,9658.513353,375.3988840000002,4.043889421525566
SWZ,3316.344093,3284.107029,-32.23706400000037,-0.9720663205016938
SWE,34855.32137,33958.51735,-896.804019999996,-2.5729328686433397
CHE,37566.13994,36993.95293,-572.1870100000015,-1.5231456064261295
SYR,3849.973504,3722.747478,-127.22602600000027,-3.3045948463753443
TWN,26997.08853,26692.99139,-304.0971400000017,-1.126407166691621
TJK,1523.623309,1493.448083,-30.175226000000066,-1.9804912291480352
TZA,940.8168562,931.7556461,-9.061210099999926,-0.9631215725235351
THA,7109.609044,6965.667682,-143.94136199999957,-2.0246030563589956
TLS,919.4213089,919.3264937,-0.0948151999999709,-0.010312486678540032
TGO,737.9422455,725.4287709,-12.513474599999995,-1.69572546853194
TON,7822.967079,7640.226212,-182.74086700000043,-2.3359534196500795
TTO,22914.10553,23332.7549,418.6493699999992,1.8270378018984326
TUN,5379.457754,5667.37771,287.91995599999973,5.352211489827414
TUR,9721.685271,9531.947552,-189.73771900000065,-1.951695757586315
TKM,5145.656297,10348.43538,5202.779083,101.11011662464327
UGA,1000.150643,963.9258,-36.224842999999964,-3.621938680291382
UKR,6029.289918,5876.115811,-153.17410700000073,-2.5404999441594396
ARE,47688.86746,62640.93332,14952.065859999995,31.353367476259198
GBR,34183.01995,33982.90821,-200.11174000000028,-0.5854126999097992
USA,42534.81791,42482.38762,-52.4302899999966,-0.12326440449547608
URY,8908.735468,8709.783638,-198.95182999999997,-2.233221883337214
UZB,1801.728467,1906.571995,104.8435280000001,5.8190526441851524
VUT,5354.259569,5330.670779,-23.58878999999979,-0.44056119610961264
VEN,8551.849092,8920.901031,369.05193899999904,4.315463650372831
VNM,2320.044646,2088.371997,-231.67264899999964,-9.98569787867779
YEM,2420.600915,2240.141968,-180.45894700000008,-7.455130082853831
ZMB,1396.106215,1066.642571,-329.46364399999993,-23.598752047672814
ZWE,169.0975587,323.260372,154.1628133,91.16797101341002
